doi	level
10.1007/s00146-005-0011-8	2
10.1007/s00146-005-0012-7	2
10.1007/s00146-005-0013-6	2
10.1007/s00146-005-0014-5	2
10.1007/s00146-005-0015-4	2
10.1007/s00146-005-0016-3	2
10.1007/s00146-005-0017-2	2
10.1007/s00146-005-0018-1	2
10.1007/s00146-005-0019-0	2
10.1007/s00146-005-0020-7	2
10.1007/s00146-005-0021-6	2
10.1007/s00146-005-0022-5	2
10.1007/s00146-005-0023-4	2
10.1007/s00146-005-0024-3	2
10.1007/s00146-005-0025-2	2
10.1007/s00146-005-0026-1	2
10.1007/s00146-005-0027-0	2
10.1007/s00146-005-0028-z	2
10.1007/s00146-005-0029-y	2
10.1007/s00146-005-0030-5	2
10.1007/s00146-005-0031-4	2
10.1007/s00146-005-0316-7	2
10.1007/s00146-005-0317-6	2
10.1007/s00146-005-0318-5	2
10.1007/s00146-005-0319-4	2
10.1007/s00146-005-0320-y	2
10.1007/s00146-005-0321-x	2
10.1007/s00146-005-0322-9	2
10.1007/s00146-005-0323-8	2
10.1007/s00146-005-0324-7	2
10.1007/s00146-005-0325-6	2
10.1007/s00146-005-0326-5	2
10.1007/s00146-005-0327-4	2
10.1007/s00146-005-0329-2	2
10.1007/s00146-005-0330-9	2
10.1007/s00146-005-0333-6	2
10.1007/s00146-005-0334-5	2
10.1007/s00146-005-0335-4	2
10.1007/s00146-005-0336-3	2
10.1007/s00146-005-0337-2	2
10.1007/s00146-006-0033-x	2
10.1007/s00146-006-0034-9	2
10.1007/s00146-006-0036-7	2
10.1007/s00146-006-0041-x	2
10.1007/s00146-006-0042-9	2
10.1007/s00146-006-0043-8	2
10.1007/s00146-006-0047-4	2
10.1007/s00146-006-0048-3	2
10.1007/s00146-006-0050-9	2
10.1007/s00146-006-0051-8	2
10.1007/s00146-006-0052-7	2
10.1007/s00146-006-0053-6	2
10.1007/s00146-006-0056-3	2
10.1007/s00146-006-0057-2	2
10.1007/s00146-006-0058-1	2
10.1007/s00146-006-0059-0	2
10.1007/s00146-006-0060-7	2
10.1007/s00146-006-0062-5	2
10.1007/s00146-006-0063-4	2
10.1007/s00146-006-0064-3	2
10.1007/s00146-006-0065-2	2
10.1007/s00146-006-0066-1	2
10.1007/s00146-006-0069-y	2
10.1007/s00146-006-0070-5	2
10.1007/s00146-006-0071-4	2
10.1007/s00146-006-0072-3	2
10.1007/s00146-006-0073-2	2
10.1007/s00146-006-0074-1	2
10.1007/s00146-006-0075-0	2
10.1007/s00146-006-0076-z	2
10.1007/s00146-006-0077-y	2
10.1007/s00146-006-0078-x	2
10.1007/s00146-007-0082-9	2
10.1007/s00146-007-0083-8	2
10.1007/s00146-007-0084-7	2
10.1007/s00146-007-0085-6	2
10.1007/s00146-007-0087-4	2
