eid	level	doi
35648950454	1	10.1093/llc/fqm021
35648951647	1	10.1093/llc/fqm024
35648952846	1	10.1093/llc/fqm017
35648971537	1	10.1093/llc/fqm026
35648992962	1	10.1093/llc/fqm019
35649011948	1	10.1093/llc/fqm028
35948939751	1	10.1007/s10579-007-9028-6
35948939751	2	10.1007/s10579-007-9028-6
35948945413	1	10.1007/s10579-007-9033-9
35948945413	2	10.1007/s10579-007-9033-9
35948954408	1	10.1007/s10579-007-9044-6
35948954408	2	10.1007/s10579-007-9044-6
35948998533	1	10.1007/s10579-007-9035-7
35948998533	2	10.1007/s10579-007-9035-7
36148942446	1	10.1007/s10579-007-9016-x
36148942446	2	10.1007/s10579-007-9016-x
36248950136	1	10.1007/s10579-007-9018-8
36248950136	2	10.1007/s10579-007-9018-8
36248954189	2	10.1007/s00146-002-0243-9
36249009832	1	10.1007/s10579-007-9017-9
36249009832	2	10.1007/s10579-007-9017-9
36348956669	2	10.1007/s00799-004-0082-z
37249024089	2	10.1162/coli.2007.33.4.477
37249069346	2	10.1162/coli.2007.33.4.469
37249080598	2	10.1162/coli.2007.33.4.553
37249086043	2	10.1162/coli.2007.33.4.493
37849048188	2	10.1007/s00799-003-0053-9
3843140883	1	10.1023/A:1002681919510
38949085214	2	10.1007/s007990100045
38949212248	2	10.1080/09296170600850759
40249117058	2	10.1080/09296170701794286
41249084931	1	10.1007/s10579-007-9050-8
41249084931	2	10.1007/s10579-007-9050-8
41249085178	1	10.1007/s10579-007-9043-7
41249085178	2	10.1007/s10579-007-9043-7
41249089821	1	10.1007/s10579-008-9063-y
41249089821	2	10.1007/s10579-008-9063-y
41249092108	1	10.1007/s10579-007-9048-2
41249092108	2	10.1007/s10579-007-9048-2
41349083192	1	10.1007/s10579-007-9059-z
41349083192	2	10.1007/s10579-007-9059-z
41349083407	1	10.1007/s10579-007-9056-2
41349083407	2	10.1007/s10579-007-9056-2
41349089489	1	10.1007/s10579-007-9055-3
41349089489	2	10.1007/s10579-007-9055-3
41349090787	1	10.1007/s10579-007-9051-7
41349090787	2	10.1007/s10579-007-9051-7
41349100025	1	10.1007/s10579-007-9053-5
41349100025	2	10.1007/s10579-007-9053-5
41349105900	1	10.1007/s10579-007-9052-6
41349105900	2	10.1007/s10579-007-9052-6
41349108337	1	10.1007/s10579-007-9060-6
41349108337	2	10.1007/s10579-007-9060-6
41349109504	1	10.1007/s10579-007-9058-0
41349109504	2	10.1007/s10579-007-9058-0
