ut	level	doi
000396579800010	1	10.1080/13569783.2016.1264267
000398126100010	1	10.1093/llc/fqv030
000399500000001	2	10.1080/09296174.2016.1265799
000399736200003	1	10.1145/2996469
000399736200004	1	10.1145/2996859
000403358700006	2	10.1007/s10579-016-9344-9
000404351100006	1	10.1080/13569783.2017.1327804
000404611300005	2	10.1162/COLI_a_00287
000411504500002	2	10.1080/09296174.2017.1304620
000411507800002	2	10.1162/COLI_a_00292
000413908800002	1	10.1080/13569783.2017.1366257
000417904700004	1	10.1093/llc/fqw053
000417909900008	1	10.1093/llc/fqw034
000417909900011	1	10.1093/llc/fqw040
000417909900013	1	10.1093/llc/fqw047
000417911000002	1	10.1093/llc/fqx023
000417911000015	1	10.1093/llc/fqx028
000419453500004	1	10.1145/3097570
000419904800004	1	10.1080/13569783.2017.1396209
000427544200004	2	10.1162/COLI_a_00308
000427558500001	2	10.1080/09296174.2017.1324601
000432144400007	2	10.1007/s10579-017-9391-x
000436336500002	2	10.1080/09296174.2017.1370192
000438146000004	1	10.1080/13569783.2018.1474095
000441548800007	2	10.1007/s10579-017-9409-4
000443559100005	1	10.1093/llc/fqx044
000443559100006	1	10.1093/llc/fqx040
000444091500003	1	10.1080/13569783.2018.1508990
000444091500005	1	10.1080/13569783.2018.1494557
000444091500009	1	10.1080/13569783.2018.1508991
000448060000004	2	10.1007/s10579-018-9419-x
000452749800004	1	10.1093/llc/fqy007
000456779800001	1	10.1145/3131610
000456779800004	1	10.1145/3195727
000087589500003	1	10.1023/A:1002609006340
000087589500007	1	10.1023/A:1002605522910
000087589500018	1	10.1023/A:1002661023178
000087589500019	1	10.1023/A:1002459020102
000088075200003	1	10.1023/A:1002630710402
000088075200004	1	10.1023/A:1002089109613
000089635700004	2	10.1162/089120100561746
000169545700001	2	10.1162/089120101750300490
000170991800004	1	10.1023/A:1011877503081
000173575800003	2	10.1162/089120101753342644
000174569000003	1	10.1023/A:1014344527505
000177959300001	2	10.1162/089120102760275983
000180268700008	1	10.1023/A:1021855607270
000181707500005	2	10.1162/089120103321337458
000183862100003	2	10.1162/089120103322145315
000207735300003	1	10.1093/llc/fqm039
000209902400005	1	10.1145/2597183
000209902600006	1	10.1145/2637485
000209902600007	1	10.1145/2629682
000222533400002	2	10.1162/089120104323093276
000225712200004	2	10.1162/0891201042544929
