id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<Perc AH pubs>	score<Perc DH pubs>	score<Perc DH pubs level 1>	score<Perc DH pubs level 2>	score<Perc DH pubs level 3>	description
500379	613	-0.678	-0.0941	1	2456	3.4832	10254	0	0	0	0	0	<td>British Journal of Pharmacology; European Journal of Pharmacology; Neuropharmacology; Journal of Neuroscience; Psychopharmacology</td>
1090138	614	-0.8617	0.0663	1	1646	2.7013	10250	0.0001951219	0	0	0	0	<td>Journal of Vascular Surgery; Stroke; European Journal of Vascular and Endovascular Surgery; American Journal of Neuroradiology; Annals of Vascular Surgery</td>
144968	615	0.7853	0.2932	4	1435	3.4178	10243	0.003416968	0.00165967	9.762765E-05	9.762765E-05	0.001464415	<td>IEEE Transactions on Circuits and Systems for Video Technology; IEEE Transactions on Pattern Analysis and Machine Intelligence; IEEE Transactions on Image Processing; Computer Vision and Image Understanding; Multimedia Tools and Applications</td>
44362	616	-0.254	0.0077	5	1914	3.3864	10232	0.0006841282	0	0	0	0	<td>Animal Behaviour; Behavioral Ecology; Proceedings of the Royal Society B: Biological Sciences; Behavioral Ecology and Sociobiology; General and Comparative Endocrinology</td>
102190	617	0.3208	0.439	3	2161	3.9889	10230	0.009775171	0.002932551	0	0.0005865103	0.002346041	<td>Sustainability; Landscape and Urban Planning; Acta Geographica Sinica; Journal of Artificial Societies and Social Simulation; Land Use Policy</td>
650786	618	-0.0404	0.0627	5	1976	2.6237	10226	0.08722863	0.0002933698	0	0	0.0002933698	<td>Journal of the Acoustical Society of America; Marine Mammal Science; PLoS ONE; Aquatic Mammals; Marine Ecology - Progress Series</td>
1294506	619	-0.7389	-0.0714	1	2389	3.2724	10213	0	0	0	0	0	<td>American Journal of Clinical Nutrition; Journal of Nutrition; Clinical Chemistry and Laboratory Medicine; PLoS ONE; Clinical Chemistry</td>
2154833	620	-0.6757	-0.1309	1	2729	4.4345	10203	0.0004900519	9.801039E-05	0	9.801039E-05	0	<td>PLoS ONE; Epigenetics; Nucleic Acids Research; Proceedings of the National Academy of Sciences of the United States of America; Scientific Reports</td>
1863253	621	-0.7791	-0.0613	1	2287	4.1172	10201	0.001078326	0	0	0	0	<td>American Journal of Medical Genetics, Part A; American Journal of Medical Genetics; European Journal of Medical Genetics; PLoS ONE; European Journal of Human Genetics</td>
363176	622	0.3189	-0.2214	2	1459	2.2195	10198	9.805844E-05	0	0	0	0	<td>Journal of Prosthetic Dentistry; Dental Materials; International Journal of Prosthodontics; Journal of Prosthodontics; Dental Materials Journal</td>
1306731	623	-0.1047	-0.1461	5	1542	2.1918	10196	9.807767E-05	0	0	0	0	<td>Weed Technology; Weed Science; Planta Daninha; Weed Research; Crop Protection</td>
230470	624	1.5876	0.2504	4	362	4.1461	10180	0.002946955	0	0	0	0	<td>Geometriae Dedicata; Journal of Algebra; Groups, Geometry, and Dynamics; International Journal of Algebra and Computation; Proceedings of the American Mathematical Society</td>
